Date (DD.MM.YYYY);Index Code;Endeksler;Index Names In English;Number of Days;Value
25.12.2015;XU100;BIST 100;BIST 100;21;26.65
25.12.2015;XU100;BIST 100;BIST 100;42;27.18
25.12.2015;XU100;BIST 100;BIST 100;63;24.60
25.12.2015;XU100;BIST 100;BIST 100;126;23.16
25.12.2015;XU100;BIST 100;BIST 100;252;22.20
28.12.2015;XU100;BIST 100;BIST 100;21;26.46
28.12.2015;XU100;BIST 100;BIST 100;42;27.18
28.12.2015;XU100;BIST 100;BIST 100;63;24.47
28.12.2015;XU100;BIST 100;BIST 100;126;22.97
28.12.2015;XU100;BIST 100;BIST 100;252;22.18
29.12.2015;XU100;BIST 100;BIST 100;21;26.44
29.12.2015;XU100;BIST 100;BIST 100;42;27.02
29.12.2015;XU100;BIST 100;BIST 100;63;24.49
29.12.2015;XU100;BIST 100;BIST 100;126;22.96
29.12.2015;XU100;BIST 100;BIST 100;252;22.18
30.12.2015;XU100;BIST 100;BIST 100;21;25.48
30.12.2015;XU100;BIST 100;BIST 100;42;23.48
30.12.2015;XU100;BIST 100;BIST 100;63;24.55
30.12.2015;XU100;BIST 100;BIST 100;126;22.98
30.12.2015;XU100;BIST 100;BIST 100;252;22.15
31.12.2015;XU100;BIST 100;BIST 100;21;26.19
31.12.2015;XU100;BIST 100;BIST 100;42;23.81
31.12.2015;XU100;BIST 100;BIST 100;63;24.87
31.12.2015;XU100;BIST 100;BIST 100;126;23.13
31.12.2015;XU100;BIST 100;BIST 100;252;22.24
04.01.2016;XU100;BIST 100;BIST 100;21;26.43
04.01.2016;XU100;BIST 100;BIST 100;42;23.81
04.01.2016;XU100;BIST 100;BIST 100;63;24.13
04.01.2016;XU100;BIST 100;BIST 100;126;23.22
04.01.2016;XU100;BIST 100;BIST 100;252;22.26
05.01.2016;XU100;BIST 100;BIST 100;21;26.11
05.01.2016;XU100;BIST 100;BIST 100;42;23.83
05.01.2016;XU100;BIST 100;BIST 100;63;24.11
05.01.2016;XU100;BIST 100;BIST 100;126;23.13
05.01.2016;XU100;BIST 100;BIST 100;252;22.25
06.01.2016;XU100;BIST 100;BIST 100;21;26.28
06.01.2016;XU100;BIST 100;BIST 100;42;23.88
06.01.2016;XU100;BIST 100;BIST 100;63;23.84
06.01.2016;XU100;BIST 100;BIST 100;126;23.13
06.01.2016;XU100;BIST 100;BIST 100;252;22.27
07.01.2016;XU100;BIST 100;BIST 100;21;26.15
07.01.2016;XU100;BIST 100;BIST 100;42;23.92
07.01.2016;XU100;BIST 100;BIST 100;63;23.86
07.01.2016;XU100;BIST 100;BIST 100;126;23.06
07.01.2016;XU100;BIST 100;BIST 100;252;22.25
08.01.2016;XU100;BIST 100;BIST 100;21;25.29
08.01.2016;XU100;BIST 100;BIST 100;42;23.96
08.01.2016;XU100;BIST 100;BIST 100;63;23.90
08.01.2016;XU100;BIST 100;BIST 100;126;22.85
08.01.2016;XU100;BIST 100;BIST 100;252;22.28
11.01.2016;XU100;BIST 100;BIST 100;21;23.42
11.01.2016;XU100;BIST 100;BIST 100;42;23.95
11.01.2016;XU100;BIST 100;BIST 100;63;23.94
11.01.2016;XU100;BIST 100;BIST 100;126;22.85
11.01.2016;XU100;BIST 100;BIST 100;252;22.28
12.01.2016;XU100;BIST 100;BIST 100;21;21.40
12.01.2016;XU100;BIST 100;BIST 100;42;24.07
12.01.2016;XU100;BIST 100;BIST 100;63;23.96
12.01.2016;XU100;BIST 100;BIST 100;126;22.87
12.01.2016;XU100;BIST 100;BIST 100;252;22.30
13.01.2016;XU100;BIST 100;BIST 100;21;20.95
13.01.2016;XU100;BIST 100;BIST 100;42;24.30
13.01.2016;XU100;BIST 100;BIST 100;63;23.91
13.01.2016;XU100;BIST 100;BIST 100;126;22.93
13.01.2016;XU100;BIST 100;BIST 100;252;22.32
14.01.2016;XU100;BIST 100;BIST 100;21;16.23
14.01.2016;XU100;BIST 100;BIST 100;42;24.26
14.01.2016;XU100;BIST 100;BIST 100;63;23.94
14.01.2016;XU100;BIST 100;BIST 100;126;22.95
14.01.2016;XU100;BIST 100;BIST 100;252;22.33
15.01.2016;XU100;BIST 100;BIST 100;21;16.36
15.01.2016;XU100;BIST 100;BIST 100;42;24.35
15.01.2016;XU100;BIST 100;BIST 100;63;23.98
15.01.2016;XU100;BIST 100;BIST 100;126;23.00
15.01.2016;XU100;BIST 100;BIST 100;252;22.35
18.01.2016;XU100;BIST 100;BIST 100;21;15.69
18.01.2016;XU100;BIST 100;BIST 100;42;24.33
18.01.2016;XU100;BIST 100;BIST 100;63;23.73
18.01.2016;XU100;BIST 100;BIST 100;126;22.88
18.01.2016;XU100;BIST 100;BIST 100;252;22.34
19.01.2016;XU100;BIST 100;BIST 100;21;14.72
19.01.2016;XU100;BIST 100;BIST 100;42;24.34
19.01.2016;XU100;BIST 100;BIST 100;63;23.62
19.01.2016;XU100;BIST 100;BIST 100;126;22.87
19.01.2016;XU100;BIST 100;BIST 100;252;22.30
20.01.2016;XU100;BIST 100;BIST 100;21;15.45
20.01.2016;XU100;BIST 100;BIST 100;42;24.67
20.01.2016;XU100;BIST 100;BIST 100;63;23.88
20.01.2016;XU100;BIST 100;BIST 100;126;23.04
20.01.2016;XU100;BIST 100;BIST 100;252;22.34
21.01.2016;XU100;BIST 100;BIST 100;21;16.02
21.01.2016;XU100;BIST 100;BIST 100;42;24.75
21.01.2016;XU100;BIST 100;BIST 100;63;23.95
21.01.2016;XU100;BIST 100;BIST 100;126;22.58
21.01.2016;XU100;BIST 100;BIST 100;252;22.38
22.01.2016;XU100;BIST 100;BIST 100;21;17.73
22.01.2016;XU100;BIST 100;BIST 100;42;23.44
22.01.2016;XU100;BIST 100;BIST 100;63;24.53
22.01.2016;XU100;BIST 100;BIST 100;126;22.84
22.01.2016;XU100;BIST 100;BIST 100;252;22.52
25.01.2016;XU100;BIST 100;BIST 100;21;17.86
25.01.2016;XU100;BIST 100;BIST 100;42;23.37
25.01.2016;XU100;BIST 100;BIST 100;63;24.49
25.01.2016;XU100;BIST 100;BIST 100;126;22.73
25.01.2016;XU100;BIST 100;BIST 100;252;22.51
26.01.2016;XU100;BIST 100;BIST 100;21;19.08
26.01.2016;XU100;BIST 100;BIST 100;42;23.19
26.01.2016;XU100;BIST 100;BIST 100;63;24.77
26.01.2016;XU100;BIST 100;BIST 100;126;22.85
26.01.2016;XU100;BIST 100;BIST 100;252;22.58
27.01.2016;XU100;BIST 100;BIST 100;21;19.14
27.01.2016;XU100;BIST 100;BIST 100;42;23.10
27.01.2016;XU100;BIST 100;BIST 100;63;24.79
27.01.2016;XU100;BIST 100;BIST 100;126;22.85
27.01.2016;XU100;BIST 100;BIST 100;252;22.57
28.01.2016;XU100;BIST 100;BIST 100;21;19.23
28.01.2016;XU100;BIST 100;BIST 100;42;23.12
28.01.2016;XU100;BIST 100;BIST 100;63;24.70
28.01.2016;XU100;BIST 100;BIST 100;126;22.86
28.01.2016;XU100;BIST 100;BIST 100;252;22.50
29.01.2016;XU100;BIST 100;BIST 100;21;19.65
