Date (DD.MM.YYYY);Index Code;Endeksler;Index Names In English;Number of Days;Value
06.09.2017;XU100;BIST 100;BIST 100;21;15.70
06.09.2017;XU100;BIST 100;BIST 100;42;14.29
06.09.2017;XU100;BIST 100;BIST 100;63;12.89
06.09.2017;XU100;BIST 100;BIST 100;126;12.89
06.09.2017;XU100;BIST 100;BIST 100;252;14.88
07.09.2017;XU100;BIST 100;BIST 100;21;15.13
07.09.2017;XU100;BIST 100;BIST 100;42;14.27
07.09.2017;XU100;BIST 100;BIST 100;63;12.78
07.09.2017;XU100;BIST 100;BIST 100;126;12.75
07.09.2017;XU100;BIST 100;BIST 100;252;14.85
08.09.2017;XU100;BIST 100;BIST 100;21;15.17
08.09.2017;XU100;BIST 100;BIST 100;42;14.55
08.09.2017;XU100;BIST 100;BIST 100;63;13.06
08.09.2017;XU100;BIST 100;BIST 100;126;12.88
08.09.2017;XU100;BIST 100;BIST 100;252;14.90
11.09.2017;XU100;BIST 100;BIST 100;21;15.53
11.09.2017;XU100;BIST 100;BIST 100;42;14.53
11.09.2017;XU100;BIST 100;BIST 100;63;13.02
11.09.2017;XU100;BIST 100;BIST 100;126;12.72
11.09.2017;XU100;BIST 100;BIST 100;252;14.91
12.09.2017;XU100;BIST 100;BIST 100;21;15.28
12.09.2017;XU100;BIST 100;BIST 100;42;13.82
12.09.2017;XU100;BIST 100;BIST 100;63;13.05
12.09.2017;XU100;BIST 100;BIST 100;126;12.70
12.09.2017;XU100;BIST 100;BIST 100;252;14.92
13.09.2017;XU100;BIST 100;BIST 100;21;15.32
13.09.2017;XU100;BIST 100;BIST 100;42;13.99
13.09.2017;XU100;BIST 100;BIST 100;63;13.12
13.09.2017;XU100;BIST 100;BIST 100;126;12.76
13.09.2017;XU100;BIST 100;BIST 100;252;14.91
14.09.2017;XU100;BIST 100;BIST 100;21;15.06
14.09.2017;XU100;BIST 100;BIST 100;42;13.97
14.09.2017;XU100;BIST 100;BIST 100;63;13.10
14.09.2017;XU100;BIST 100;BIST 100;126;12.75
14.09.2017;XU100;BIST 100;BIST 100;252;14.84
15.09.2017;XU100;BIST 100;BIST 100;21;12.67
15.09.2017;XU100;BIST 100;BIST 100;42;13.88
15.09.2017;XU100;BIST 100;BIST 100;63;13.14
15.09.2017;XU100;BIST 100;BIST 100;126;12.76
15.09.2017;XU100;BIST 100;BIST 100;252;14.71
18.09.2017;XU100;BIST 100;BIST 100;21;10.33
18.09.2017;XU100;BIST 100;BIST 100;42;13.97
18.09.2017;XU100;BIST 100;BIST 100;63;13.37
18.09.2017;XU100;BIST 100;BIST 100;126;12.89
18.09.2017;XU100;BIST 100;BIST 100;252;14.75
19.09.2017;XU100;BIST 100;BIST 100;21;11.53
19.09.2017;XU100;BIST 100;BIST 100;42;14.42
19.09.2017;XU100;BIST 100;BIST 100;63;13.61
19.09.2017;XU100;BIST 100;BIST 100;126;13.05
19.09.2017;XU100;BIST 100;BIST 100;252;14.83
20.09.2017;XU100;BIST 100;BIST 100;21;11.64
20.09.2017;XU100;BIST 100;BIST 100;42;13.90
20.09.2017;XU100;BIST 100;BIST 100;63;13.56
20.09.2017;XU100;BIST 100;BIST 100;126;13.06
20.09.2017;XU100;BIST 100;BIST 100;252;14.66
21.09.2017;XU100;BIST 100;BIST 100;21;12.21
21.09.2017;XU100;BIST 100;BIST 100;42;14.14
21.09.2017;XU100;BIST 100;BIST 100;63;13.66
21.09.2017;XU100;BIST 100;BIST 100;126;13.19
21.09.2017;XU100;BIST 100;BIST 100;252;14.72
22.09.2017;XU100;BIST 100;BIST 100;21;11.13
22.09.2017;XU100;BIST 100;BIST 100;42;14.14
22.09.2017;XU100;BIST 100;BIST 100;63;13.66
22.09.2017;XU100;BIST 100;BIST 100;126;13.18
22.09.2017;XU100;BIST 100;BIST 100;252;14.17
25.09.2017;XU100;BIST 100;BIST 100;21;12.33
25.09.2017;XU100;BIST 100;BIST 100;42;14.75
25.09.2017;XU100;BIST 100;BIST 100;63;14.16
25.09.2017;XU100;BIST 100;BIST 100;126;13.38
25.09.2017;XU100;BIST 100;BIST 100;252;14.29
26.09.2017;XU100;BIST 100;BIST 100;21;13.77
26.09.2017;XU100;BIST 100;BIST 100;42;15.29
26.09.2017;XU100;BIST 100;BIST 100;63;14.44
26.09.2017;XU100;BIST 100;BIST 100;126;13.54
26.09.2017;XU100;BIST 100;BIST 100;252;14.36
27.09.2017;XU100;BIST 100;BIST 100;21;15.92
27.09.2017;XU100;BIST 100;BIST 100;42;16.50
27.09.2017;XU100;BIST 100;BIST 100;63;15.38
27.09.2017;XU100;BIST 100;BIST 100;126;14.06
27.09.2017;XU100;BIST 100;BIST 100;252;14.59
28.09.2017;XU100;BIST 100;BIST 100;21;16.74
28.09.2017;XU100;BIST 100;BIST 100;42;16.65
28.09.2017;XU100;BIST 100;BIST 100;63;15.51
28.09.2017;XU100;BIST 100;BIST 100;126;14.13
28.09.2017;XU100;BIST 100;BIST 100;252;14.62
29.09.2017;XU100;BIST 100;BIST 100;21;16.60
29.09.2017;XU100;BIST 100;BIST 100;42;16.62
29.09.2017;XU100;BIST 100;BIST 100;63;15.48
29.09.2017;XU100;BIST 100;BIST 100;126;14.12
29.09.2017;XU100;BIST 100;BIST 100;252;14.60
02.10.2017;XU100;BIST 100;BIST 100;21;17.15
02.10.2017;XU100;BIST 100;BIST 100;42;16.83
02.10.2017;XU100;BIST 100;BIST 100;63;15.59
02.10.2017;XU100;BIST 100;BIST 100;126;14.08
02.10.2017;XU100;BIST 100;BIST 100;252;14.62
03.10.2017;XU100;BIST 100;BIST 100;21;17.17
03.10.2017;XU100;BIST 100;BIST 100;42;16.56
03.10.2017;XU100;BIST 100;BIST 100;63;15.59
03.10.2017;XU100;BIST 100;BIST 100;126;14.08
03.10.2017;XU100;BIST 100;BIST 100;252;14.60
04.10.2017;XU100;BIST 100;BIST 100;21;17.19
04.10.2017;XU100;BIST 100;BIST 100;42;16.61
04.10.2017;XU100;BIST 100;BIST 100;63;15.58
04.10.2017;XU100;BIST 100;BIST 100;126;14.08
04.10.2017;XU100;BIST 100;BIST 100;252;14.60
05.10.2017;XU100;BIST 100;BIST 100;21;16.91
05.10.2017;XU100;BIST 100;BIST 100;42;16.54
05.10.2017;XU100;BIST 100;BIST 100;63;15.56
05.10.2017;XU100;BIST 100;BIST 100;126;14.08
05.10.2017;XU100;BIST 100;BIST 100;252;14.61
06.10.2017;XU100;BIST 100;BIST 100;21;16.86
06.10.2017;XU100;BIST 100;BIST 100;42;16.20
06.10.2017;XU100;BIST 100;BIST 100;63;15.56
06.10.2017;XU100;BIST 100;BIST 100;126;14.08
06.10.2017;XU100;BIST 100;BIST 100;252;14.61
09.10.2017;XU100;BIST 100;BIST 100;21;18.67
09.10.2017;XU100;BIST 100;BIST 100;42;17.14
09.10.2017;XU100;BIST 100;BIST 100;63;16.50
09.10.2017;XU100;BIST 100;BIST 100;126;14.65
09.10.2017;XU100;BIST 100;BIST 100;252;14.88
10.10.2017;XU100;BIST 100;BIST 100;21;19.91
10.10.2017;XU100;BIST 100;BIST 100;42;17.98
10.10.2017;XU100;BIST 100;BIST 100;63;16.87
10.10.2017;XU100;BIST 100;BIST 100;126;14.89
10.10.2017;XU100;BIST 100;BIST 100;252;15.01
11.10.2017;XU100;BIST 100;BIST 100;21;20.04
11.10.2017;XU100;BIST 100;BIST 100;42;17.94
11.10.2017;XU100;BIST 100;BIST 100;63;16.40
11.10.2017;XU100;BIST 100;BIST 100;126;14.88
11.10.2017;XU100;BIST 100;BIST 100;252;14.98
12.10.2017;XU100;BIST 100;BIST 100;21;21.28
12.10.2017;XU100;BIST 100;BIST 100;42;18.56
12.10.2017;XU100;BIST 100;BIST 100;63;16.84
12.10.2017;XU100;BIST 100;BIST 100;126;14.54
12.10.2017;XU100;BIST 100;BIST 100;252;15.07
13.10.2017;XU100;BIST 100;BIST 100;21;21.31
13.10.2017;XU100;BIST 100;BIST 100;42;18.49
13.10.2017;XU100;BIST 100;BIST 100;63;16.83
13.10.2017;XU100;BIST 100;BIST 100;126;14.53
13.10.2017;XU100;BIST 100;BIST 100;252;15.07
16.10.2017;XU100;BIST 100;BIST 100;21;21.29
16.10.2017;XU100;BIST 100;BIST 100;42;17.52
16.10.2017;XU100;BIST 100;BIST 100;63;16.74
16.10.2017;XU100;BIST 100;BIST 100;126;14.53
16.10.2017;XU100;BIST 100;BIST 100;252;15.04
17.10.2017;XU100;BIST 100;BIST 100;21;21.01
17.10.2017;XU100;BIST 100;BIST 100;42;16.56
17.10.2017;XU100;BIST 100;BIST 100;63;16.66
17.10.2017;XU100;BIST 100;BIST 100;126;14.42
17.10.2017;XU100;BIST 100;BIST 100;252;15.01
18.10.2017;XU100;BIST 100;BIST 100;21;20.29
18.10.2017;XU100;BIST 100;BIST 100;42;16.56
18.10.2017;XU100;BIST 100;BIST 100;63;16.63
18.10.2017;XU100;BIST 100;BIST 100;126;14.42
18.10.2017;XU100;BIST 100;BIST 100;252;15.01
19.10.2017;XU100;BIST 100;BIST 100;21;20.75
19.10.2017;XU100;BIST 100;BIST 100;42;16.90
19.10.2017;XU100;BIST 100;BIST 100;63;16.56
19.10.2017;XU100;BIST 100;BIST 100;126;14.51
19.10.2017;XU100;BIST 100;BIST 100;252;15.05
20.10.2017;XU100;BIST 100;BIST 100;21;20.15
20.10.2017;XU100;BIST 100;BIST 100;42;16.89
20.10.2017;XU100;BIST 100;BIST 100;63;16.51
20.10.2017;XU100;BIST 100;BIST 100;126;14.48
20.10.2017;XU100;BIST 100;BIST 100;252;15.00
23.10.2017;XU100;BIST 100;BIST 100;21;20.63
23.10.2017;XU100;BIST 100;BIST 100;42;16.80
23.10.2017;XU100;BIST 100;BIST 100;63;16.66
23.10.2017;XU100;BIST 100;BIST 100;126;14.55
23.10.2017;XU100;BIST 100;BIST 100;252;15.03
24.10.2017;XU100;BIST 100;BIST 100;21;19.48
24.10.2017;XU100;BIST 100;BIST 100;42;16.80
24.10.2017;XU100;BIST 100;BIST 100;63;16.65
24.10.2017;XU100;BIST 100;BIST 100;126;14.45
24.10.2017;XU100;BIST 100;BIST 100;252;15.03
25.10.2017;XU100;BIST 100;BIST 100;21;19.10
25.10.2017;XU100;BIST 100;BIST 100;42;16.98
25.10.2017;XU100;BIST 100;BIST 100;63;16.78
25.10.2017;XU100;BIST 100;BIST 100;126;14.50
25.10.2017;XU100;BIST 100;BIST 100;252;15.03
26.10.2017;XU100;BIST 100;BIST 100;21;16.79
26.10.2017;XU100;BIST 100;BIST 100;42;17.12
26.10.2017;XU100;BIST 100;BIST 100;63;16.88
26.10.2017;XU100;BIST 100;BIST 100;126;14.45
26.10.2017;XU100;BIST 100;BIST 100;252;15.05
27.10.2017;XU100;BIST 100;BIST 100;21;16.33
27.10.2017;XU100;BIST 100;BIST 100;42;17.12
27.10.2017;XU100;BIST 100;BIST 100;63;16.77
27.10.2017;XU100;BIST 100;BIST 100;126;14.42
27.10.2017;XU100;BIST 100;BIST 100;252;15.06
30.10.2017;XU100;BIST 100;BIST 100;21;16.36
30.10.2017;XU100;BIST 100;BIST 100;42;17.12
30.10.2017;XU100;BIST 100;BIST 100;63;16.75
30.10.2017;XU100;BIST 100;BIST 100;126;14.43
30.10.2017;XU100;BIST 100;BIST 100;252;14.98
31.10.2017;XU100;BIST 100;BIST 100;21;16.76
31.10.2017;XU100;BIST 100;BIST 100;42;17.54
31.10.2017;XU100;BIST 100;BIST 100;63;17.02
31.10.2017;XU100;BIST 100;BIST 100;126;14.56
31.10.2017;XU100;BIST 100;BIST 100;252;15.04
01.11.2017;XU100;BIST 100;BIST 100;21;18.43
01.11.2017;XU100;BIST 100;BIST 100;42;18.59
01.11.2017;XU100;BIST 100;BIST 100;63;17.54
01.11.2017;XU100;BIST 100;BIST 100;126;14.96
01.11.2017;XU100;BIST 100;BIST 100;252;15.22
02.11.2017;XU100;BIST 100;BIST 100;21;18.47
02.11.2017;XU100;BIST 100;BIST 100;42;18.39
02.11.2017;XU100;BIST 100;BIST 100;63;17.53
02.11.2017;XU100;BIST 100;BIST 100;126;14.95
02.11.2017;XU100;BIST 100;BIST 100;252;14.84
03.11.2017;XU100;BIST 100;BIST 100;21;19.47
03.11.2017;XU100;BIST 100;BIST 100;42;18.73
03.11.2017;XU100;BIST 100;BIST 100;63;17.79
03.11.2017;XU100;BIST 100;BIST 100;126;15.10
03.11.2017;XU100;BIST 100;BIST 100;252;14.84
06.11.2017;XU100;BIST 100;BIST 100;21;20.78
06.11.2017;XU100;BIST 100;BIST 100;42;19.70
06.11.2017;XU100;BIST 100;BIST 100;63;18.30
06.11.2017;XU100;BIST 100;BIST 100;126;15.41
06.11.2017;XU100;BIST 100;BIST 100;252;15.01
07.11.2017;XU100;BIST 100;BIST 100;21;19.02
07.11.2017;XU100;BIST 100;BIST 100;42;19.92
07.11.2017;XU100;BIST 100;BIST 100;63;18.50
07.11.2017;XU100;BIST 100;BIST 100;126;15.58
07.11.2017;XU100;BIST 100;BIST 100;252;15.12
08.11.2017;XU100;BIST 100;BIST 100;21;18.37
08.11.2017;XU100;BIST 100;BIST 100;42;19.84
08.11.2017;XU100;BIST 100;BIST 100;63;18.52
08.11.2017;XU100;BIST 100;BIST 100;126;15.59
08.11.2017;XU100;BIST 100;BIST 100;252;15.12
09.11.2017;XU100;BIST 100;BIST 100;21;19.42
09.11.2017;XU100;BIST 100;BIST 100;42;20.17
09.11.2017;XU100;BIST 100;BIST 100;63;18.68
09.11.2017;XU100;BIST 100;BIST 100;126;15.63
09.11.2017;XU100;BIST 100;BIST 100;252;15.12
10.11.2017;XU100;BIST 100;BIST 100;21;19.00
10.11.2017;XU100;BIST 100;BIST 100;42;20.26
10.11.2017;XU100;BIST 100;BIST 100;63;18.76
10.11.2017;XU100;BIST 100;BIST 100;126;15.69
10.11.2017;XU100;BIST 100;BIST 100;252;15.13
13.11.2017;XU100;BIST 100;BIST 100;21;19.01
13.11.2017;XU100;BIST 100;BIST 100;42;20.26
13.11.2017;XU100;BIST 100;BIST 100;63;18.69
13.11.2017;XU100;BIST 100;BIST 100;126;15.60
13.11.2017;XU100;BIST 100;BIST 100;252;15.11
14.11.2017;XU100;BIST 100;BIST 100;21;19.34
14.11.2017;XU100;BIST 100;BIST 100;42;20.41
14.11.2017;XU100;BIST 100;BIST 100;63;18.23
14.11.2017;XU100;BIST 100;BIST 100;126;15.67
14.11.2017;XU100;BIST 100;BIST 100;252;15.13
15.11.2017;XU100;BIST 100;BIST 100;21;20.91
15.11.2017;XU100;BIST 100;BIST 100;42;20.96
15.11.2017;XU100;BIST 100;BIST 100;63;18.13
15.11.2017;XU100;BIST 100;BIST 100;126;15.99
15.11.2017;XU100;BIST 100;BIST 100;252;15.31
16.11.2017;XU100;BIST 100;BIST 100;21;21.06
16.11.2017;XU100;BIST 100;BIST 100;42;20.69
16.11.2017;XU100;BIST 100;BIST 100;63;18.18
16.11.2017;XU100;BIST 100;BIST 100;126;16.02
16.11.2017;XU100;BIST 100;BIST 100;252;15.32
17.11.2017;XU100;BIST 100;BIST 100;21;20.57
17.11.2017;XU100;BIST 100;BIST 100;42;20.75
17.11.2017;XU100;BIST 100;BIST 100;63;18.24
17.11.2017;XU100;BIST 100;BIST 100;126;16.04
17.11.2017;XU100;BIST 100;BIST 100;252;15.34
20.11.2017;XU100;BIST 100;BIST 100;21;21.77
20.11.2017;XU100;BIST 100;BIST 100;42;21.22
20.11.2017;XU100;BIST 100;BIST 100;63;18.74
20.11.2017;XU100;BIST 100;BIST 100;126;16.33
20.11.2017;XU100;BIST 100;BIST 100;252;15.52
21.11.2017;XU100;BIST 100;BIST 100;21;22.09
21.11.2017;XU100;BIST 100;BIST 100;42;21.45
21.11.2017;XU100;BIST 100;BIST 100;63;18.73
21.11.2017;XU100;BIST 100;BIST 100;126;16.33
21.11.2017;XU100;BIST 100;BIST 100;252;15.52
22.11.2017;XU100;BIST 100;BIST 100;21;22.24
22.11.2017;XU100;BIST 100;BIST 100;42;21.02
22.11.2017;XU100;BIST 100;BIST 100;63;18.79
22.11.2017;XU100;BIST 100;BIST 100;126;16.25
22.11.2017;XU100;BIST 100;BIST 100;252;15.48
23.11.2017;XU100;BIST 100;BIST 100;21;22.03
23.11.2017;XU100;BIST 100;BIST 100;42;20.80
23.11.2017;XU100;BIST 100;BIST 100;63;18.85
23.11.2017;XU100;BIST 100;BIST 100;126;16.29
23.11.2017;XU100;BIST 100;BIST 100;252;15.51
24.11.2017;XU100;BIST 100;BIST 100;21;21.88
24.11.2017;XU100;BIST 100;BIST 100;42;19.77
24.11.2017;XU100;BIST 100;BIST 100;63;18.86
24.11.2017;XU100;BIST 100;BIST 100;126;16.28
24.11.2017;XU100;BIST 100;BIST 100;252;15.51
27.11.2017;XU100;BIST 100;BIST 100;21;21.80
27.11.2017;XU100;BIST 100;BIST 100;42;19.49
27.11.2017;XU100;BIST 100;BIST 100;63;18.82
27.11.2017;XU100;BIST 100;BIST 100;126;16.27
27.11.2017;XU100;BIST 100;BIST 100;252;15.46
28.11.2017;XU100;BIST 100;BIST 100;21;23.17
28.11.2017;XU100;BIST 100;BIST 100;42;20.51
28.11.2017;XU100;BIST 100;BIST 100;63;19.44
28.11.2017;XU100;BIST 100;BIST 100;126;16.70
28.11.2017;XU100;BIST 100;BIST 100;252;15.70
29.11.2017;XU100;BIST 100;BIST 100;21;22.36
29.11.2017;XU100;BIST 100;BIST 100;42;20.37
29.11.2017;XU100;BIST 100;BIST 100;63;19.45
29.11.2017;XU100;BIST 100;BIST 100;126;16.69
29.11.2017;XU100;BIST 100;BIST 100;252;15.55
30.11.2017;XU100;BIST 100;BIST 100;21;21.01
30.11.2017;XU100;BIST 100;BIST 100;42;20.75
30.11.2017;XU100;BIST 100;BIST 100;63;19.74
30.11.2017;XU100;BIST 100;BIST 100;126;16.83
30.11.2017;XU100;BIST 100;BIST 100;252;15.58
01.12.2017;XU100;BIST 100;BIST 100;21;20.97
01.12.2017;XU100;BIST 100;BIST 100;42;20.72
01.12.2017;XU100;BIST 100;BIST 100;63;19.65
01.12.2017;XU100;BIST 100;BIST 100;126;16.84
01.12.2017;XU100;BIST 100;BIST 100;252;15.59
04.12.2017;XU100;BIST 100;BIST 100;21;21.63
04.12.2017;XU100;BIST 100;BIST 100;42;21.07
04.12.2017;XU100;BIST 100;BIST 100;63;19.88
04.12.2017;XU100;BIST 100;BIST 100;126;16.85
04.12.2017;XU100;BIST 100;BIST 100;252;15.48
05.12.2017;XU100;BIST 100;BIST 100;21;19.75
05.12.2017;XU100;BIST 100;BIST 100;42;21.20
05.12.2017;XU100;BIST 100;BIST 100;63;19.98
05.12.2017;XU100;BIST 100;BIST 100;126;16.87
05.12.2017;XU100;BIST 100;BIST 100;252;15.49
06.12.2017;XU100;BIST 100;BIST 100;21;19.29
06.12.2017;XU100;BIST 100;BIST 100;42;20.17
06.12.2017;XU100;BIST 100;BIST 100;63;19.93
06.12.2017;XU100;BIST 100;BIST 100;126;16.92
06.12.2017;XU100;BIST 100;BIST 100;252;15.53
07.12.2017;XU100;BIST 100;BIST 100;21;19.85
07.12.2017;XU100;BIST 100;BIST 100;42;19.74
07.12.2017;XU100;BIST 100;BIST 100;63;19.96
07.12.2017;XU100;BIST 100;BIST 100;126;16.95
07.12.2017;XU100;BIST 100;BIST 100;252;15.55
08.12.2017;XU100;BIST 100;BIST 100;21;20.05
08.12.2017;XU100;BIST 100;BIST 100;42;19.97
08.12.2017;XU100;BIST 100;BIST 100;63;20.15
08.12.2017;XU100;BIST 100;BIST 100;126;17.04
08.12.2017;XU100;BIST 100;BIST 100;252;15.59
11.12.2017;XU100;BIST 100;BIST 100;21;20.08
11.12.2017;XU100;BIST 100;BIST 100;42;19.57
11.12.2017;XU100;BIST 100;BIST 100;63;20.20
11.12.2017;XU100;BIST 100;BIST 100;126;17.06
11.12.2017;XU100;BIST 100;BIST 100;252;15.60
12.12.2017;XU100;BIST 100;BIST 100;21;20.08
12.12.2017;XU100;BIST 100;BIST 100;42;19.57
12.12.2017;XU100;BIST 100;BIST 100;63;20.20
12.12.2017;XU100;BIST 100;BIST 100;126;17.05
12.12.2017;XU100;BIST 100;BIST 100;252;15.60
13.12.2017;XU100;BIST 100;BIST 100;21;19.83
13.12.2017;XU100;BIST 100;BIST 100;42;19.68
13.12.2017;XU100;BIST 100;BIST 100;63;20.25
13.12.2017;XU100;BIST 100;BIST 100;126;17.10
13.12.2017;XU100;BIST 100;BIST 100;252;15.60
14.12.2017;XU100;BIST 100;BIST 100;21;18.88
14.12.2017;XU100;BIST 100;BIST 100;42;19.93
14.12.2017;XU100;BIST 100;BIST 100;63;20.30
14.12.2017;XU100;BIST 100;BIST 100;126;17.19
14.12.2017;XU100;BIST 100;BIST 100;252;15.65
15.12.2017;XU100;BIST 100;BIST 100;21;18.74
15.12.2017;XU100;BIST 100;BIST 100;42;19.95
15.12.2017;XU100;BIST 100;BIST 100;63;20.06
15.12.2017;XU100;BIST 100;BIST 100;126;17.15
15.12.2017;XU100;BIST 100;BIST 100;252;15.64
18.12.2017;XU100;BIST 100;BIST 100;21;18.67
18.12.2017;XU100;BIST 100;BIST 100;42;19.76
18.12.2017;XU100;BIST 100;BIST 100;63;20.11
18.12.2017;XU100;BIST 100;BIST 100;126;17.15
18.12.2017;XU100;BIST 100;BIST 100;252;15.64
19.12.2017;XU100;BIST 100;BIST 100;21;16.67
19.12.2017;XU100;BIST 100;BIST 100;42;19.76
19.12.2017;XU100;BIST 100;BIST 100;63;19.93
19.12.2017;XU100;BIST 100;BIST 100;126;17.09
19.12.2017;XU100;BIST 100;BIST 100;252;15.64
20.12.2017;XU100;BIST 100;BIST 100;21;16.28
20.12.2017;XU100;BIST 100;BIST 100;42;19.57
20.12.2017;XU100;BIST 100;BIST 100;63;19.94
20.12.2017;XU100;BIST 100;BIST 100;126;17.09
20.12.2017;XU100;BIST 100;BIST 100;252;15.63
21.12.2017;XU100;BIST 100;BIST 100;21;16.30
21.12.2017;XU100;BIST 100;BIST 100;42;19.63
21.12.2017;XU100;BIST 100;BIST 100;63;19.61
21.12.2017;XU100;BIST 100;BIST 100;126;17.11
21.12.2017;XU100;BIST 100;BIST 100;252;15.63
22.12.2017;XU100;BIST 100;BIST 100;21;15.88
22.12.2017;XU100;BIST 100;BIST 100;42;19.49
22.12.2017;XU100;BIST 100;BIST 100;63;19.39
22.12.2017;XU100;BIST 100;BIST 100;126;17.10
22.12.2017;XU100;BIST 100;BIST 100;252;15.63
25.12.2017;XU100;BIST 100;BIST 100;21;15.70
25.12.2017;XU100;BIST 100;BIST 100;42;19.37
25.12.2017;XU100;BIST 100;BIST 100;63;18.60
25.12.2017;XU100;BIST 100;BIST 100;126;17.10
25.12.2017;XU100;BIST 100;BIST 100;252;15.63
26.12.2017;XU100;BIST 100;BIST 100;21;15.70
26.12.2017;XU100;BIST 100;BIST 100;42;19.34
26.12.2017;XU100;BIST 100;BIST 100;63;18.43
26.12.2017;XU100;BIST 100;BIST 100;126;17.05
26.12.2017;XU100;BIST 100;BIST 100;252;15.60
27.12.2017;XU100;BIST 100;BIST 100;21;11.84
27.12.2017;XU100;BIST 100;BIST 100;42;19.31
27.12.2017;XU100;BIST 100;BIST 100;63;18.43
27.12.2017;XU100;BIST 100;BIST 100;126;17.04
27.12.2017;XU100;BIST 100;BIST 100;252;15.60
28.12.2017;XU100;BIST 100;BIST 100;21;13.00
28.12.2017;XU100;BIST 100;BIST 100;42;19.59
28.12.2017;XU100;BIST 100;BIST 100;63;18.74
28.12.2017;XU100;BIST 100;BIST 100;126;17.26
28.12.2017;XU100;BIST 100;BIST 100;252;15.71
29.12.2017;XU100;BIST 100;BIST 100;21;12.48
29.12.2017;XU100;BIST 100;BIST 100;42;18.67
29.12.2017;XU100;BIST 100;BIST 100;63;18.78
29.12.2017;XU100;BIST 100;BIST 100;126;17.28
29.12.2017;XU100;BIST 100;BIST 100;252;15.71
02.01.2018;XU100;BIST 100;BIST 100;21;12.88
02.01.2018;XU100;BIST 100;BIST 100;42;19.19
02.01.2018;XU100;BIST 100;BIST 100;63;19.06
02.01.2018;XU100;BIST 100;BIST 100;126;17.44
02.01.2018;XU100;BIST 100;BIST 100;252;15.72
03.01.2018;XU100;BIST 100;BIST 100;21;13.84
03.01.2018;XU100;BIST 100;BIST 100;42;19.07
03.01.2018;XU100;BIST 100;BIST 100;63;19.26
03.01.2018;XU100;BIST 100;BIST 100;126;17.53
03.01.2018;XU100;BIST 100;BIST 100;252;15.76
04.01.2018;XU100;BIST 100;BIST 100;21;14.06
04.01.2018;XU100;BIST 100;BIST 100;42;18.12
04.01.2018;XU100;BIST 100;BIST 100;63;19.29
04.01.2018;XU100;BIST 100;BIST 100;126;17.55
04.01.2018;XU100;BIST 100;BIST 100;252;15.78
05.01.2018;XU100;BIST 100;BIST 100;21;13.40
05.01.2018;XU100;BIST 100;BIST 100;42;17.76
05.01.2018;XU100;BIST 100;BIST 100;63;18.43
05.01.2018;XU100;BIST 100;BIST 100;126;17.57
05.01.2018;XU100;BIST 100;BIST 100;252;15.78
08.01.2018;XU100;BIST 100;BIST 100;21;13.47
08.01.2018;XU100;BIST 100;BIST 100;42;17.75
08.01.2018;XU100;BIST 100;BIST 100;63;18.09
08.01.2018;XU100;BIST 100;BIST 100;126;17.53
08.01.2018;XU100;BIST 100;BIST 100;252;15.78
09.01.2018;XU100;BIST 100;BIST 100;21;13.97
09.01.2018;XU100;BIST 100;BIST 100;42;17.58
09.01.2018;XU100;BIST 100;BIST 100;63;18.26
09.01.2018;XU100;BIST 100;BIST 100;126;17.40
09.01.2018;XU100;BIST 100;BIST 100;252;15.83
10.01.2018;XU100;BIST 100;BIST 100;21;14.58
10.01.2018;XU100;BIST 100;BIST 100;42;17.61
10.01.2018;XU100;BIST 100;BIST 100;63;18.09
10.01.2018;XU100;BIST 100;BIST 100;126;17.49
10.01.2018;XU100;BIST 100;BIST 100;252;15.89
11.01.2018;XU100;BIST 100;BIST 100;21;14.79
11.01.2018;XU100;BIST 100;BIST 100;42;17.73
11.01.2018;XU100;BIST 100;BIST 100;63;18.17
11.01.2018;XU100;BIST 100;BIST 100;126;17.53
11.01.2018;XU100;BIST 100;BIST 100;252;15.43
12.01.2018;XU100;BIST 100;BIST 100;21;14.35
12.01.2018;XU100;BIST 100;BIST 100;42;17.54
12.01.2018;XU100;BIST 100;BIST 100;63;18.17
12.01.2018;XU100;BIST 100;BIST 100;126;17.49
12.01.2018;XU100;BIST 100;BIST 100;252;15.41
15.01.2018;XU100;BIST 100;BIST 100;21;16.02
15.01.2018;XU100;BIST 100;BIST 100;42;17.51
15.01.2018;XU100;BIST 100;BIST 100;63;18.72
15.01.2018;XU100;BIST 100;BIST 100;126;17.73
15.01.2018;XU100;BIST 100;BIST 100;252;15.59
16.01.2018;XU100;BIST 100;BIST 100;21;17.16
16.01.2018;XU100;BIST 100;BIST 100;42;17.99
16.01.2018;XU100;BIST 100;BIST 100;63;19.10
16.01.2018;XU100;BIST 100;BIST 100;126;17.92
16.01.2018;XU100;BIST 100;BIST 100;252;15.68
17.01.2018;XU100;BIST 100;BIST 100;21;17.96
17.01.2018;XU100;BIST 100;BIST 100;42;18.33
17.01.2018;XU100;BIST 100;BIST 100;63;19.26
17.01.2018;XU100;BIST 100;BIST 100;126;17.98
17.01.2018;XU100;BIST 100;BIST 100;252;15.78
18.01.2018;XU100;BIST 100;BIST 100;21;17.92
18.01.2018;XU100;BIST 100;BIST 100;42;17.31
18.01.2018;XU100;BIST 100;BIST 100;63;19.26
18.01.2018;XU100;BIST 100;BIST 100;126;17.95
18.01.2018;XU100;BIST 100;BIST 100;252;15.76
19.01.2018;XU100;BIST 100;BIST 100;21;18.88
